WaDEBenUse,UniqueCount,len_WBU
"Agriculture Irrigation,Aquaculture,Domestic,Recreation",123,4
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Public Supply,Recreation",122,7
"In-stream Flow,Other",121,2
"Aquaculture,Aquifer Recharge,Other",119,3
"Aquifer Recharge,Commercial/Industrial",119,2
"Aquaculture,Other,Recreation,Unspecified",119,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Unspecified",118,8
"Commercial/Industrial,Domestic,Fire,Public Supply",115,4
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Other",112,5
"Agriculture Irrigation,Public Supply,Unspecified",111,3
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Recreation",111,5
"Domestic,Thermoelectric Cooling",111,2
"Agriculture Irrigation,Reservoir Storage",110,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation",108,7
"Agriculture Irrigation,Domestic,Fire,Public Supply,Recreation",107,5
"Aquaculture,Fire,Recreation",106,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation",106,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation,Unspecified",105,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Recreation,Unspecified",104,7
"Agriculture Irrigation,Other,Public Supply",103,3
"Livestock,Public Supply",103,2
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation,Unspecified",103,9
"Municipal Irrigation,Other",102,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Recreation",99,6
"Aquaculture,Fire,Livestock,Other",97,4
"Aquaculture,Fire",97,2
"Agriculture Irrigation,Aquaculture,Fire,Other,Recreation",96,5
"Domestic,In-stream Flow,Recreation",96,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Unspecified",96,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Unspecified",96,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock",95,5
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Recreation",93,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other",92,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage,Unspecified",92,9
"Public Supply,Reservoir Storage,Unspecified",91,3
"Agriculture Irrigation,Livestock,Other,Recreation",90,4
"Agriculture Irrigation,Aquaculture,Fire,Recreation",90,4
"Agriculture Irrigation,Other,Unspecified",90,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Unspecified",88,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Recreation",88,5
"Agriculture Irrigation,Other,Thermoelectric Cooling",87,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Recreation,Unspecified",86,6
"Agriculture Irrigation,Aquaculture,Other",85,3
"Aquaculture,Recreation,Unspecified",85,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Reservoir Storage,Unspecified",85,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Public Supply,Recreation,Unspecified",83,7
"Aquaculture,Domestic,Livestock,Recreation",82,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply",80,6
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Recreation",80,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Unspecified",79,6
"Agriculture Irrigation,Domestic,Livestock,Other,Public Supply",79,5
"Agriculture Irrigation,Commercial/Industrial,Unspecified",78,3
"Aquaculture,Commercial/Industrial,Domestic,Livestock,Recreation",76,5
Snow,74,1
"Aquaculture,Fire,Other",74,3
"Commercial/Industrial,Domestic,Hydroelectric,Other,Unspecified",74,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Recreation",72,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation",72,7
"Domestic,Livestock,Municipal Irrigation,Other",72,4
"Commercial/Industrial,Domestic,Unspecified",71,3
"Fire,Unspecified",70,2
"Commercial/Industrial,Fire,Livestock",69,3
"Other,Reservoir Storage",69,2
"Agriculture Irrigation,Fire,Livestock,Other",69,4
"Agriculture Irrigation,Domestic,Public Supply,Recreation",68,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Recreation",68,4
"Fire,Recreation",67,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,In-stream Flow,Livestock,Other,Public Supply,Recreation,Unspecified",66,11
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock",65,5
"Domestic,Municipal Irrigation,Other",64,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Unspecified",64,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock",64,5
"Aquaculture,Fire,Livestock,Recreation",63,4
