WaDEBenUse,UniqueCount,len_WBU
"Agriculture Irrigation,Aquaculture,Domestic,Reservoir Storage,Unspecified",7,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Other,Unspecified",7,7
"Agriculture Irrigation,Aquaculture,Public Supply,Recreation",7,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Reservoir Storage,Unspecified",7,5
"Agriculture Irrigation,Other,Public Supply,Recreation",7,4
"Aquaculture,Commercial/Industrial,Other,Recreation,Unspecified",7,5
"Agriculture Irrigation,Aquaculture,Domestic,Other,Public Supply,Recreation,Unspecified",7,7
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Unspecified",7,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Recreation,Unspecified",7,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining,Public Supply,Recreation",6,6
"Agriculture Irrigation,Domestic,Livestock,Public Supply,Recreation,Unspecified",6,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,In-stream Flow,Public Supply,Recreation,Unspecified",6,8
"Agriculture Irrigation,Aquaculture,Fire,Hydroelectric,Livestock,Other,Recreation,Unspecified",6,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Unspecified",6,7
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",6,11
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,In-stream Flow,Other,Public Supply,Recreation,Unspecified",6,11
"Domestic,Snow",6,2
"Agriculture Irrigation,Domestic,Fire,Thermoelectric Cooling",6,4
"Agriculture Irrigation,Aquifer Recharge,Domestic",6,3
"Commercial/Industrial,Recreation,Thermoelectric Cooling",6,3
"Agriculture Irrigation,Domestic,Fire,Public Supply,Recreation,Snow,Unspecified",6,7
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage,Unspecified",6,8
"Agriculture Irrigation,Domestic,Other,Reservoir Storage",6,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Recreation,Reservoir Storage,Unspecified",6,11
"Municipal Irrigation,Reservoir Storage",6,2
"Livestock,Other,Recreation,Reservoir Storage",6,4
"Agriculture Irrigation,Commercial/Industrial,Fire,Other,Public Supply",6,5
"Agriculture Irrigation,Aquifer Recharge,Other",6,3
"Agriculture Irrigation,Commercial/Industrial,Public Supply,Reservoir Storage",6,4
"Aquaculture,Commercial/Industrial,Livestock,Other",6,4
"Municipal Irrigation,Recreation,Unspecified",6,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Reservoir Storage,Unspecified",6,6
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage,Unspecified",6,9
"Aquaculture,Livestock,Other,Unspecified",6,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage",6,9
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Reservoir Storage,Thermoelectric Cooling,Unspecified",6,11
"Agriculture Irrigation,Commercial/Industrial,Livestock,Other",6,4
"Agriculture Irrigation,Commercial/Industrial,Livestock,Reservoir Storage,Unspecified",6,5
"Agriculture Irrigation,Commercial/Industrial,Livestock,Unspecified",6,4
"Agriculture Irrigation,Domestic,Hydroelectric,Other,Recreation",6,5
"Domestic,Fire,Recreation,Unspecified",6,4
"Agriculture Irrigation,Aquifer Recharge,In-stream Flow,Recreation,Unspecified",6,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation,Unspecified",6,8
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Unspecified",6,9
"Commercial/Industrial,Fire,Livestock,Other,Reservoir Storage,Unspecified",6,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Unspecified",6,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,In-stream Flow,Public Supply,Recreation,Unspecified",6,10
"Aquaculture,Commercial/Industrial,Recreation,Thermoelectric Cooling",6,4
"Hydroelectric,In-stream Flow,Other,Recreation,Unspecified",6,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Snow,Unspecified",6,8
"Aquaculture,Domestic,Other,Recreation",6,4
"Aquaculture,Livestock,Other,Recreation,Reservoir Storage",6,5
"Commercial/Industrial,Hydroelectric,Reservoir Storage,Unspecified",6,4
"Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Unspecified",6,8
"Agriculture Irrigation,Aquaculture,Livestock,Recreation,Thermoelectric Cooling",6,5
"Agriculture Irrigation,Aquifer Recharge,Domestic,Unspecified",6,4
"Agriculture Irrigation,Commercial/Industrial,Municipal Irrigation",6,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Unspecified",6,9
"Agriculture Irrigation,Fire,Livestock,Other,Recreation,Unspecified",6,6
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Unspecified",6,6
"Aquaculture,Domestic,Recreation,Unspecified",6,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Recreation,Unspecified",6,5
"Domestic,Livestock,Other,Reservoir Storage",6,4
"Domestic,Mining,Other,Public Supply",6,4
"Mining,Public Supply",6,2
"Fire,Mining",6,2
"Agriculture Irrigation,Domestic,Livestock,Mining,Other,Public Supply",6,6
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Reservoir Storage",6,6
"Domestic,Recreation,Reservoir Storage",6,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Recreation",6,6
"Aquaculture,Thermoelectric Cooling",6,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Snow,Unspecified",6,12
"Hydroelectric,Other,Unspecified",6,3
"Agriculture Irrigation,Livestock,Thermoelectric Cooling",6,3
"Agriculture Irrigation,Other,Public Supply,Recreation,Reservoir Storage",6,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Recreation,Unspecified",6,8
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage",6,8
"Municipal Irrigation,Public Supply",6,2
"Commercial/Industrial,Domestic,Fire,Snow",5,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Snow,Unspecified",5,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other,Reservoir Storage,Unspecified",5,7
"Commercial/Industrial,In-stream Flow",5,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock",5,4
"Agriculture Irrigation,Domestic,Reservoir Storage",5,3
"Agriculture Irrigation,Domestic,Snow",5,3
"Domestic,Hydroelectric,Other",5,3
"Fire,In-stream Flow",5,2
"Commercial/Industrial,Domestic,Recreation,Thermoelectric Cooling",5,4
"Agriculture Irrigation,Livestock,Public Supply,Recreation",5,4
"Agriculture Irrigation,Fire,Recreation,Unspecified",5,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Unspecified",5,10
"Agriculture Irrigation,Fire,Hydroelectric,Unspecified",5,4
"Agriculture Irrigation,Fire,Public Supply,Recreation",5,4
"Agriculture Irrigation,Livestock,Reservoir Storage,Unspecified",5,4
"Domestic,Livestock,Other,Public Supply",5,4
"Commercial/Industrial,Mining,Other",5,3
"In-stream Flow,Municipal Irrigation,Recreation",5,3
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Public Supply,Recreation,Unspecified",5,8
"Agriculture Irrigation,Domestic,Hydroelectric,Livestock",5,4
"Aquaculture,Other,Public Supply,Recreation",5,4
"Agriculture Irrigation,Aquifer Recharge,Recreation",5,3
"Aquaculture,Domestic,Livestock,Unspecified",5,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Recreation",5,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Public Supply,Unspecified",5,9
"Domestic,Reservoir Storage,Unspecified",5,3
"Agriculture Irrigation,Aquaculture,Domestic,Other,Unspecified",5,5
"Aquaculture,Fire,Unspecified",5,3
"Aquaculture,Domestic,Livestock,Other,Recreation,Unspecified",5,6
"Agriculture Irrigation,Aquifer Recharge,Other,Unspecified",5,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",5,11
"Commercial/Industrial,Domestic,Reservoir Storage,Unspecified",5,4
"Agriculture Irrigation,Domestic,Livestock,Mining,Public Supply,Recreation",5,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply,Recreation,Unspecified",5,9
"Commercial/Industrial,Domestic,Public Supply,Unspecified",5,4
"Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Unspecified",5,6
"Commercial/Industrial,Domestic,Public Supply,Recreation,Snow,Unspecified",5,6
"Commercial/Industrial,Domestic,Snow",5,3
"Commercial/Industrial,Domestic,Other,Public Supply,Recreation",5,5
"Commercial/Industrial,Public Supply,Recreation,Snow",5,4
"Domestic,Hydroelectric,Other,Public Supply",5,4
"Agriculture Irrigation,Aquaculture,Livestock,Other,Recreation,Reservoir Storage,Unspecified",5,7
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Unspecified",5,9
"Aquaculture,Commercial/Industrial,Domestic,Fire,In-stream Flow,Other,Public Supply,Recreation",5,8
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,In-stream Flow,Livestock,Unspecified",5,8
"Aquifer Recharge,Reservoir Storage,Unspecified",5,3
"Aquaculture,Commercial/Industrial,Fire,Livestock,Other,Recreation",5,6
"Commercial/Industrial,Domestic,Fire,Hydroelectric",5,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation,Reservoir Storage,Unspecified",5,7
"Aquifer Recharge,Livestock,Reservoir Storage",5,3
"Aquaculture,Domestic,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",5,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Municipal Irrigation",5,5
"Aquaculture,Domestic,Fire,Livestock,Other,Recreation,Unspecified",5,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage",5,8
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Other,Public Supply",5,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Unspecified",5,4
"Agriculture Irrigation,Domestic,Fire,Recreation,Unspecified",5,5
"Agriculture Irrigation,Livestock,Recreation,Unspecified",4,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Unspecified",4,8
"Hydroelectric,Livestock",4,2
"Commercial/Industrial,Domestic,Livestock,Other",4,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Reservoir Storage,Unspecified",4,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Unspecified",4,5
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Public Supply,Recreation,Unspecified",4,7
"Agriculture Irrigation,Recreation,Thermoelectric Cooling",4,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Other,Public Supply,Recreation,Snow,Unspecified",4,9
"Aquifer Recharge,Fire,Other,Unspecified",4,4
"Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply",4,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Recreation",4,7
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Other",4,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other",4,6
"Commercial/Industrial,Domestic,Fire,Livestock,Other",4,5
"Agriculture Irrigation,Livestock,Mining,Other,Unspecified",4,5
"Agriculture Irrigation,In-stream Flow,Livestock,Municipal Irrigation",4,4
"Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",4,10
"In-stream Flow,Mining",4,2
"Livestock,Other,Reservoir Storage,Unspecified",4,4
"Livestock,Thermoelectric Cooling",4,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Recreation,Reservoir Storage",4,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Reservoir Storage,Unspecified",4,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Recreation,Reservoir Storage,Unspecified",4,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Snow",4,5
"Agriculture Irrigation,Domestic,Fire,Public Supply,Recreation,Unspecified",4,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,In-stream Flow",4,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation,Reservoir Storage,Snow,Unspecified",4,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Other,Public Supply,Recreation",4,9
"Aquaculture,Recreation,Reservoir Storage,Unspecified",4,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation,Reservoir Storage,Snow",4,7
"Commercial/Industrial,Domestic,Fire,Reservoir Storage,Unspecified",4,5
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Other,Recreation,Reservoir Storage",4,7
"Commercial/Industrial,Other,Public Supply,Unspecified",4,4
"Mining,Recreation",4,2
"Agriculture Irrigation,Domestic,Reservoir Storage,Unspecified",4,4
"Agriculture Irrigation,Livestock,Municipal Irrigation,Other",4,4
"Agriculture Irrigation,Aquaculture,Domestic,Public Supply,Recreation,Unspecified",4,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation,Unspecified",4,6
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Other,Recreation,Unspecified",4,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Unspecified",4,7
"Aquaculture,Hydroelectric",4,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other,Public Supply,Recreation,Unspecified",4,8
"Agriculture Irrigation,Fire,Municipal Irrigation,Other",4,4
"Agriculture Irrigation,Fire,In-stream Flow,Municipal Irrigation,Other,Recreation",4,6
"Aquaculture,Livestock,Reservoir Storage,Unspecified",4,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,In-stream Flow,Recreation,Unspecified",4,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage",4,10
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Livestock,Other,Reservoir Storage",4,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation,Unspecified",4,7
"Agriculture Irrigation,Commercial/Industrial,Fire,Public Supply,Recreation,Unspecified",4,6
"Agriculture Irrigation,Commercial/Industrial,Fire,Livestock,Recreation,Unspecified",4,6
"Aquaculture,Domestic,Fire,Recreation",4,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Other,Public Supply,Recreation,Reservoir Storage,Snow,Unspecified",4,13
"Aquaculture,Fire,Livestock,Other,Unspecified",4,5
"Domestic,Mining,Recreation",4,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Recreation,Snow,Unspecified",4,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Reservoir Storage",4,7
"Agriculture Irrigation,Commercial/Industrial,In-stream Flow,Public Supply",4,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Reservoir Storage,Unspecified",4,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Public Supply,Recreation,Reservoir Storage,Unspecified",4,9
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Hydroelectric,Public Supply,Recreation",4,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Reservoir Storage,Unspecified",4,8
"Commercial/Industrial,Fire,Thermoelectric Cooling",4,3
"Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage,Unspecified",4,7
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other,Recreation,Reservoir Storage,Snow,Unspecified",4,13
"Agriculture Irrigation,Aquifer Recharge,Hydroelectric,Other,Public Supply,Unspecified",4,6
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Public Supply,Recreation,Unspecified",4,8
"Agriculture Irrigation,Fire,In-stream Flow,Other,Recreation",4,5
"Agriculture Irrigation,Domestic,In-stream Flow,Livestock,Municipal Irrigation",4,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire",4,5
"Agriculture Irrigation,Domestic,Livestock,Recreation,Reservoir Storage,Unspecified",4,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation,Reservoir Storage,Unspecified",4,8
"Domestic,Fire,Thermoelectric Cooling",4,3
"Agriculture Irrigation,Fire,Thermoelectric Cooling",4,3
"Domestic,Livestock,Thermoelectric Cooling",4,3
"Aquaculture,Commercial/Industrial,Other,Public Supply,Recreation",4,5
"Domestic,Fire,Public Supply,Recreation",4,4
"Agriculture Irrigation,Domestic,Fire,Livestock,Municipal Irrigation",4,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,In-stream Flow,Livestock,Other,Recreation,Reservoir Storage,Snow,Thermoelectric Cooling,Unspecified",4,15
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Unspecified",4,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Recreation,Reservoir Storage,Unspecified",4,8
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Fire,Other,Recreation",4,6
"Commercial/Industrial,Reservoir Storage,Unspecified",4,3
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Livestock,Recreation",4,6
"Domestic,Livestock,Other,Unspecified",4,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Other,Public Supply,Recreation",4,7
"Commercial/Industrial,Livestock,Unspecified",4,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Reservoir Storage,Unspecified",4,8
"Agriculture Irrigation,Livestock,Mining,Other,Public Supply,Recreation,Unspecified",4,7
"Aquifer Recharge,Other,Unspecified",4,3
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Public Supply,Recreation,Reservoir Storage,Unspecified",4,8
"Agriculture Irrigation,Commercial/Industrial,Mining,Other",4,4
"Fire,Livestock,Public Supply",4,3
"Commercial/Industrial,Domestic,Livestock,Mining,Public Supply",4,5
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Recreation,Unspecified",4,7
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Unspecified",3,5
"Agriculture Irrigation,Aquaculture,Domestic,Other,Public Supply,Recreation,Reservoir Storage",3,7
"Agriculture Irrigation,Aquaculture,Hydroelectric,Public Supply,Unspecified",3,5
"Aquaculture,Livestock,Municipal Irrigation",3,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Hydroelectric,Livestock,Public Supply",3,6
"Agriculture Irrigation,Aquaculture,Domestic,Other,Public Supply,Unspecified",3,6
"In-stream Flow,Livestock,Recreation,Unspecified",3,4
"Commercial/Industrial,Domestic,Hydroelectric,Public Supply",3,4
"Agriculture Irrigation,Commercial/Industrial,Fire,Public Supply,Unspecified",3,5
"Hydroelectric,In-stream Flow",3,2
"Agriculture Irrigation,Aquifer Recharge,Domestic,Fire,Livestock,Unspecified",3,6
"Livestock,Other,Public Supply",3,3
"Agriculture Irrigation,Commercial/Industrial,Hydroelectric,Public Supply",3,4
"Fire,Municipal Irrigation,Other,Recreation",3,4
"In-stream Flow,Livestock,Other,Recreation",3,4
"Aquifer Recharge,Domestic,Livestock",3,3
"Commercial/Industrial,Domestic,Fire,Hydroelectric,Other",3,5
"Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Unspecified",3,7
"Fire,Hydroelectric",3,2
"Municipal Irrigation,Reservoir Storage,Unspecified",3,3
"Domestic,Mining,Other,Unspecified",3,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Snow",3,6
"Domestic,Fire,Livestock,Municipal Irrigation",3,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Snow",3,7
"Reservoir Storage,Thermoelectric Cooling",3,2
"Agriculture Irrigation,In-stream Flow,Livestock,Other,Reservoir Storage",3,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other,Public Supply,Recreation",3,10
"Agriculture Irrigation,Commercial/Industrial,Fire,Hydroelectric",3,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other,Public Supply,Snow,Unspecified",3,7
"Agriculture Irrigation,Aquaculture,Recreation,Reservoir Storage,Unspecified",3,5
"Agriculture Irrigation,Domestic,Fire,Other,Public Supply,Reservoir Storage",3,6
"Aquaculture,Domestic,Thermoelectric Cooling",3,3
"Livestock,Public Supply,Unspecified",3,3
"Fire,Other,Reservoir Storage",3,3
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Other,Reservoir Storage,Unspecified",3,9
"Agriculture Irrigation,Domestic,Fire,In-stream Flow",3,4
"Public Supply,Reservoir Storage",3,2
"Aquaculture,Domestic,Fire,Livestock,Recreation,Unspecified",3,6
"Domestic,Mining,Municipal Irrigation",3,3
"Hydroelectric,Reservoir Storage",3,2
"Agriculture Irrigation,Commercial/Industrial,Fire,Other,Reservoir Storage,Unspecified",3,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Recreation,Unspecified",3,6
"Agriculture Irrigation,Domestic,Livestock,Mining,Public Supply,Unspecified",3,6
"Domestic,Fire,Livestock,Other,Public Supply",3,5
"Agriculture Irrigation,Domestic,Fire,Hydroelectric,Livestock",3,5
"Agriculture Irrigation,Fire,Public Supply",3,3
"Domestic,Fire,Livestock,Other,Recreation",3,5
"Fire,Municipal Irrigation,Recreation",3,3
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Fire,Other,Recreation,Unspecified",3,8
"Agriculture Irrigation,Aquaculture,Fire,Unspecified",3,4
"Domestic,Other,Public Supply,Recreation",3,4
"Agriculture Irrigation,Commercial/Industrial,Mining,Recreation",3,4
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,In-stream Flow,Public Supply,Unspecified",3,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other",3,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Reservoir Storage,Unspecified",3,6
"Commercial/Industrial,Hydroelectric,Unspecified",3,3
"Other,Public Supply,Recreation",3,3
"Agriculture Irrigation,Aquaculture,Domestic,Other,Recreation,Reservoir Storage,Unspecified",3,7
"Agriculture Irrigation,Hydroelectric,Livestock",3,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Other,Public Supply,Recreation",3,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Other,Recreation",3,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Reservoir Storage",3,5
"Commercial/Industrial,Domestic,Livestock,Public Supply,Unspecified",3,5
"Agriculture Irrigation,Fire,Livestock,Other,Unspecified",3,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage",3,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply,Recreation,Reservoir Storage,Unspecified",3,10
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Mining,Recreation",3,6
"Agriculture Irrigation,Livestock,Other,Recreation,Reservoir Storage",3,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Other,Recreation,Reservoir Storage,Unspecified",3,8
"Commercial/Industrial,Fire,Other",3,3
"Commercial/Industrial,Domestic,Hydroelectric,Other",3,4
"Agriculture Irrigation,Aquaculture,Other,Public Supply,Recreation",3,5
"Aquaculture,Fire,Livestock,Other,Public Supply,Recreation",3,6
"Aquifer Recharge,Domestic",3,2
"Aquaculture,Aquifer Recharge,Fire,Livestock,Other,Recreation,Unspecified",3,7
"Agriculture Irrigation,Domestic,Recreation,Thermoelectric Cooling",3,4
"Commercial/Industrial,Domestic,Public Supply,Snow,Unspecified",3,5
"Aquaculture,Aquifer Recharge,Recreation,Unspecified",3,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation",3,9
"Agriculture Irrigation,Commercial/Industrial,Thermoelectric Cooling",3,3
"Domestic,Fire,Livestock,Other,Public Supply,Unspecified",3,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Recreation,Unspecified",3,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply,Recreation,Reservoir Storage",3,9
"Agriculture Irrigation,Commercial/Industrial,Other,Recreation",3,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,In-stream Flow,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",3,12
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage",3,8
"Domestic,Fire,Mining",3,3
"Domestic,Livestock,Municipal Irrigation,Thermoelectric Cooling",3,4
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Hydroelectric",3,5
"Commercial/Industrial,Domestic,Fire,Livestock,Public Supply",3,5
"Agriculture Irrigation,Aquifer Recharge,Other,Recreation",3,4
"Agriculture Irrigation,Aquaculture,Fire,In-stream Flow,Livestock,Other,Recreation",3,7
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Livestock,Other,Unspecified",3,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Recreation,Snow",3,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Livestock,Public Supply,Reservoir Storage,Unspecified",3,8
"Agriculture Irrigation,Aquifer Recharge,Fire,Livestock,Other,Unspecified",3,6
"Fire,Livestock,Recreation,Unspecified",3,4
"Aquaculture,Commercial/Industrial,Fire,Livestock",3,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",3,10
"Commercial/Industrial,Livestock,Other,Reservoir Storage",3,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other,Recreation",3,6
"Fire,Other,Reservoir Storage,Unspecified",3,4
"Agriculture Irrigation,Commercial/Industrial,In-stream Flow",3,3
"Hydroelectric,Recreation",3,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Snow",3,8
